 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
25,,1,0.4121,1.0200,1.5500,0,1.1700,1.2200,0,0.3625,0.3727,255,255
26,,1,0.4063,2.0900,0.9200,0,2.4300,1.0800,0,0.3758,0.3693,255,255
27,,1,0.4063,0.0500,1.0500,0,0.3600,0.8800,0,0.3536,0.3448,255,255
28,,1,0.4038,0.3700,2.6200,0,0.5000,2.2700,0,0.3734,0.3647,255,255
29,,1,0.3931,2.9300,1.0300,0,3.0200,1.3800,0,0.3614,0.3387,255,255
30,,1,0.3821,1.5700,2.4200,0,1.7300,2.7300,0,0.3489,0.3332,255,255
31,,1,0.3763,2.3400,0.0000,0,2.1300,0.2600,0,0.3342,0.3462,255,255
32,,1,0.3756,0.3700,2.6200,0,0.6800,2.5100,0,0.3289,0.3242,255,255
33,,1,0.3728,2.6300,1.7600,0,2.8300,2.0500,0,0.3523,0.3500,255,255
34,,1,0.3724,2.8700,1.6400,0,2.9000,2.0000,0,0.3612,0.3430,255,255
35,,1,0.3721,0.2900,2.4300,0,0.4600,2.1400,0,0.3362,0.3430,255,255
36,,1,0.3673,0.4700,2.1000,0,0.5900,1.8000,0,0.3231,0.3142,255,255
37,,1,0.3638,1.7300,2.1500,0,1.8700,1.8500,0,0.3311,0.3278,255,255
38,,1,0.3638,2.2100,0.7100,0,2.3800,0.4600,0,0.3023,0.3203,255,255
39,,1,0.3583,2.1000,1.7300,0,2.1200,1.3800,0,0.3506,0.3302,255,255
40,,1,0.3549,2.0600,1.0500,0,2.1200,1.3800,0,0.3354,0.3162,255,255
41,,1,0.3514,0.1100,2.2100,0,0.0700,1.9000,0,0.3126,0.3272,255,255
42,,1,0.3483,2.1500,1.8300,0,2.1500,2.1700,0,0.3400,0.3210,255,255
43,,1,0.3463,1.3100,2.2400,0,1.5700,2.4200,0,0.3162,0.2970,255,255
44,,1,0.3456,2.8700,1.6400,0,3.0200,1.3800,0,0.3002,0.2767,255,255
45,,1,0.3421,2.1200,1.3800,0,2.3200,1.6100,0,0.3048,0.2911,255,255
46,,1,0.3280,2.2500,2.7700,0,2.4300,2.5400,0,0.2921,0.2818,255,255
47,,1,0.3231,0.4800,0.4300,0,0.5600,0.7200,0,0.3008,0.3046,255,255
48,,1,0.3163,1.5000,1.6600,0,1.7400,1.4900,0,0.2941,0.2608,255,255
49,,1,0.3131,0.8200,0.6300,0,0.8800,0.3500,0,0.2864,0.2819,255,255
50,,1,0.3121,1.5700,2.4200,0,1.7900,2.2400,0,0.2843,0.2668,255,255
51,,1,0.3090,1.4500,2.0800,0,1.7300,2.1500,0,0.2886,0.2690,255,255
52,,1,0.3080,0.2900,1.8900,0,0.4700,2.1000,0,0.2766,0.2593,255,255
53,,1,0.3080,2.1300,0.3200,0,2.3800,0.4600,0,0.2865,0.2657,255,255
54,,1,0.3073,0.2900,1.8900,0,0.5500,1.7900,0,0.2786,0.2633,255,255
55,,1,0.3021,1.8100,0.3200,0,1.6500,0.5500,0,0.2802,0.2820,255,255
56,,1,0.2983,1.7400,1.2000,0,1.7400,1.4900,0,0.2900,0.2741,255,255
57,,1,0.2956,1.9200,0.1100,0,2.1300,0.2600,0,0.2581,0.2458,255,255
58,,1,0.2873,2.1500,2.1700,0,2.3900,2.0900,0,0.2530,0.2440,255,255
59,,1,0.2873,0.1600,2.4700,0,0.1000,2.6900,0,0.2280,0.2629,255,255
60,,1,0.2849,1.4800,1.4100,0,1.5400,1.1500,0,0.2668,0.2441,255,255
61,,1,0.2849,1.4500,2.0800,0,1.4600,1.8300,0,0.2502,0.2483,255,255
62,,1,0.2849,2.4500,2.1200,0,2.5100,2.3800,0,0.2668,0.2480,255,255
63,,1,0.2814,0.1100,2.9200,0,0.1000,2.6900,0,0.2302,0.2655,255,255
64,,1,0.2766,3.1200,2.1700,0,2.8600,2.2100,0,0.2631,0.2766,255,255
65,,1,0.2756,2.1500,0.0000,0,1.9200,0.1100,0,0.2550,0.2570,255,255
66,,1,0.2724,0.7600,1.7300,0,0.7900,1.4700,0,0.2617,0.2313,255,255
67,,1,0.2714,2.4700,2.9200,0,2.6200,2.7400,0,0.2343,0.2488,255,255
68,,1,0.2656,1.5900,1.1200,0,1.7000,0.9000,0,0.2460,0.2250,255,255
